path,description
/MI/MI0106/MI0106T12,"""Environment"", ""Discharges to water and sewage sludge production"", ""Metal discharges from municipal wastewater treatment plants by treatment method/major drainage region and substance. Every other year 2014 - 2020"""
/MI/MI0106/MI0106T01B,"""Environment"", ""Discharges to water and sewage sludge production"", ""Discharges from municipal waste water treatment plants by major drainage area and substance. Every other year 2014 - 2020"""
/MI/MI0107/TotaltUtslappN,"""Environment"", ""Greenhouse gas emissions and removals"", ""Total emissions and removals of greenhouse gases by greenhouse gas and sector. Year 1990 - 2022"""
/MI/MI0107/MI0107UppvBoLok,"""Environment"", ""Greenhouse gas emissions and removals"", ""Emissions of greenhouse gases from heating of houses and buildings by greenhouse gas and subsector. Year 1990 - 2022"""
/MI/MI0107/MI0107Prodanv,"""Environment"", ""Greenhouse gas emissions and removals"", ""Emissions of greenhouse gases from solvent use and other product use by greenhouse gas and area. Year 1990 - 2022"""
/MI/MI0107/MI0107IndustriN,"""Environment"", ""Greenhouse gas emissions and removals"", ""Emissions of greenhouse gases from industry by greenhouse gas and subsector.  Year 1990 - 2022"""
/MI/MI0107/MI0107JordbrukN,"""Environment"", ""Greenhouse gas emissions and removals"", ""Emissions of greenhouse gases from agriculture  by greenhouse gas and subsector. Year 1990 - 2022"""
/MI/MI0107/MI0107ArbMaskN,"""Environment"", ""Greenhouse gas emissions and removals"", ""Emissions of greenhouse gases from off-road vehicles and other machinery by type of greenhouse gas and subsector. Year 1990 - 2022"""
/MI/MI0107/MI0107UtrikesTransNN,"""Environment"", ""Greenhouse gas emissions and removals"", ""Emissions of greenhouse gases from international transport by type of greenhouse gas and activity. Year 1990 - 2022"""
/MI/MI0107/MI0107MarkanvNN,"""Environment"", ""Greenhouse gas emissions and removals"", ""Emissions and removals of greenhouse gases from land use, land use change and forestry by type of greenhouse gas and subsector. Year 1990 - 2022"""
/MI/MI0107/MI0107AvfallN,"""Environment"", ""Greenhouse gas emissions and removals"", ""Emissions of greenhouse gases from waste by type of greenhouse gas and subsector. Year 1990 - 2022"""
/MI/MI0107/MI0107ELoFjarrNN,"""Environment"", ""Greenhouse gas emissions and removals"", ""Emissions of greenhouse gases from electricity and district heating by type of greenhouse gas and fuel type. Year 1990 - 2022"""
/MI/MI0107/MI0107InTranspNN,"""Environment"", ""Greenhouse gas emissions and removals"", ""Emissions of greenhouse gases from domestic transport by type of greenhouse gas and mode of transport. Year 1990 - 2022"""
/MI/MI0108/TotaltUtslapp,"""Environment"", ""Emissions of atmospheric pollutants"", ""Total emissions of air pollutants by sector. Year 1990 - 2022"""
/MI/MI0108/MI0108Industri,"""Environment"", ""Emissions of atmospheric pollutants"", ""Emissions of air pollutants from industry by subsector.  Year 1990 - 2022"""
/MI/MI0108/MI0108Jordbruk,"""Environment"", ""Emissions of atmospheric pollutants"", ""Emissions of air pollutants from agriculture by subsector. Year 1990 - 2022"""
/MI/MI0108/MI0108Prodanv,"""Environment"", ""Emissions of atmospheric pollutants"", ""Emissions of air pollutants from solvent use and other product use by area. Year 1990 - 2022"""
/MI/MI0108/MI0108UppvBoLok,"""Environment"", ""Emissions of atmospheric pollutants"", ""Emissions of air pollutants from heating of houses and buildings by subsector. Year 1990 - 2022"""
/MI/MI0108/UtslappAmmoniakAr,"""Environment"", ""Emissions of atmospheric pollutants"", ""Emissions to air of ammonia (tonnes) from agriculture by production area, type of animal, emission source, manure management system and handling. Year 2005 - 2022"""
/MI/MI0108/MI0108ArbMaskN,"""Environment"", ""Emissions of atmospheric pollutants"", ""Emissions of air pollutants from off-road vehicles and other machinery by subsector. Year 1990 - 2022"""
/MI/MI0108/MI0108UtrikesTransNN,"""Environment"", ""Emissions of atmospheric pollutants"", ""Emissions of air pollutants from international transport by activity. Year 1990 - 2022"""
/MI/MI0108/MI0108AvfallN,"""Environment"", ""Emissions of atmospheric pollutants"", ""Emissions of air pollutants from waste by subsector. Year 1990 - 2022"""
/MI/MI0108/MI0108EloFjarrN,"""Environment"", ""Emissions of atmospheric pollutants"", ""Emissions of air pollutants from electricity and district heating by fuel type. Year 1990 - 2022"""
/MI/MI0305/MI0305T01C,"""Environment"", ""Waste, generated and treated"", ""Generated waste by property, economic activity NACE Rev. 2 (incl. households) and waste category. Every second year 2010 - 2020"""
/MI/MI0305/MI0305T003,"""Environment"", ""Waste, generated and treated"", ""Treated waste by treatment category and waste category. Every second year 2010 - 2020"""
/MI/MI0307/MI0307T1,"""Environment"", ""Waste, packaging"", ""Total amount of packaging put on the market and recycled broken down by type of packaging. Year 2012 - 2019"""
/MI/MI0307/MI0307T2N,"""Environment"", ""Waste, packaging"", ""Total amount of packaging put on the market and recycled by type of packaging. New calculation points from 2020. Year 2020 - 2022"""
/MI/MI0308/MI0308T05,"""Environment"", ""Waste, transboundary shipments"", ""Export of waste that need prior notification by country of destination, type of waste and treatment category.  Year 2012 - 2018"""
/MI/MI0308/MI0308T06,"""Environment"", ""Waste, transboundary shipments"", ""Import of waste that need prior notification by country of destination, type of waste and treatment category. Year 2012 - 2018"""
/MI/MI0309/MI0309T01,"""Environment"", ""Waste, electonic equipment and batteries"", ""Sold and collected amount of electrical equipment by type of equipment and product category. Year 2010 - 2018"""
/MI/MI0309/MI0309T02,"""Environment"", ""Waste, electonic equipment and batteries"", ""Treated amount of electrical equipment by type of treatment and product category. Year 2010 - 2018"""
/MI/MI0309/MI0309T03,"""Environment"", ""Waste, electonic equipment and batteries"", ""Sold and collected amount of batteries by battery type. Year 2010 - 2022"""
/MI/MI0309/MI0309T04,"""Environment"", ""Waste, electonic equipment and batteries"", ""Treated amount of batteries by type of treatment and type of battery. Year 2010 - 2022"""
/MI/MI0309/MI0309T05,"""Environment"", ""Waste, electonic equipment and batteries"", ""Sold and collected amount of electrical equipment by type of equipment and product category.  Year 2019 - 2022"""
/MI/MI0605/SkyddSkogFrivillig,"""Environment"", ""Formally protected forest land, voluntary set-asides, consideration patches and unproductive forest"", ""Formally protected forest land, voluntary set-asides, consideration patches and unproductive forest land. Year 2018 - 2022"""
/MI/MI0802/Areal2012NN,"""Environment"", ""Land and water areas"", ""Land and water area 1 January by region and type of area. Year 2012 - 2024"""
/MI/MI0802/Areal,"""Environment"", ""Land and water areas"", ""Land and water area 1 January by region and type of area (no update after 2011). Year 2000 - 2011"""
/MI/MI0802/Landareal,"""Environment"", ""Land and water areas"", ""Land area 1 January by region (no update after 1999). Year 1992 - 1999"""
/MI/MI1002/ForsHandelsgodsel,"""Environment"", ""Sales of fertilizers for agricultural and horticultural purposes"", ""Sales of mineral fertilisers for agriculture and horticulture after region and plant nutrient. Year 1989/1990 - 2022/2023"""
/NR/NR0001/Konjunkturklockan,"""National accounts"", ""The Swedish Economy – Statistical Perspective"", ""Business cycle clock. Month 2000M01 - 2024M04"""
/NR/NR0109/HC,"""National accounts"", ""System of Health Accounts"", ""Total health care expenditures by function of health care (HC). Year 2001 - 2022"""
/NR/NR0109/HCBNP,"""National accounts"", ""System of Health Accounts"", ""Total health care expenditures in relation to GDP 2001 - 2022"""
/NR/NR0109/HCHF,"""National accounts"", ""System of Health Accounts"", ""Total health care expenditures by function of health care (HC) and by source of funding (HF). Year 2001 - 2022"""
/NR/NR0109/HCHP,"""National accounts"", ""System of Health Accounts"", ""Total health care expenditures by function of health care (HC) and by provider industry (HP). Year 2011 - 2022"""
/NR/NR0109/HKHP,"""National accounts"", ""System of Health Accounts"", ""Total health capital by type of assets (HK) and by provider industry (HP). Year 2001 - 2022"""
/NR/NR0109/HPHF,"""National accounts"", ""System of Health Accounts"", ""Total health care expenditures by provider industry (HP) and by source of funding (HF) Year 2011 - 2022"""
/NR/NR0110/ESSPROST1,"""National accounts"", ""Social protection expenditure and receipts in Sweden and Europe (ESSPROS)"", ""Social protection expenditure. Year 1993 - 2022"""
/NR/NR0110/ESSPROST2,"""National accounts"", ""Social protection expenditure and receipts in Sweden and Europe (ESSPROS)"", ""Total receipts of social protection by type of sector of origin. Year 1993 - 2022"""
